I.D.	Sex	Birth Season	Left-Ear	Right-Ear	Earnotches	New Group	Notes
K00	F	1986	100	010	100-010	F	sticks tongue out
O52	F	1988	100	101	100-101	F	right nipple black
T03	F	1989	111	100	111-100	V	Long left nipple
T82	M	1990	010	000	010-000	X	
T84	F	1990	000	110	000-110	S	floppy right ear
V72	F	1990	111	010	111-010	HH	"""chewed up"" right ear"
V80	F	1991	001	000	001-000	HH	
X83	F	1991	110	001	110-001	R	Looks like 110-101
X91	F	1991	100	011	100-011	R	
Z82	F	1992	110	000	110-000	S	
19A	F	1992	000	010	000-010	KK	
51A	M	1993	001	000	001-000	V	
59A	F	1993	000	001	000-001	F	
82A	F	1993	101	010	101-010	F	
91A	F	1993	110	100	110-100	R	missing right arm
96A	F	1993	101	100	101-100	R	missing right ear
13B	F	1993	110	100	110-100	V	  
24B	F	1993	101	110	101-110	F	Visits MM and OO
28B	M	1993	101	101	101-101	F	
29B	F	1993	010	011	010-011	F	"droopy right ear, big middle notch left ear "
34B	F	1993	101	111	101-111	KK	"white of eye visible, cross eyed"
73B	F	1994	100	110	100-110	F	
78B	M	1994	100	000	100-000	KK	ripped left ear
80B	M	1994	000	010	000-010	HH	looks like 100-010
81B	F	1994	100	011	100-011	HH	short tail; missing top half left ear
96B	M	1994	010	100	010-100	F	
17C	F	1994	101	001	101-001	F	
30C	M	1994	001	100	001-100	F	
70C	M	1994	011	101	011-101	V	"scar on left side, upper lip; missing right ear"
73C	F	1994	000	111	000-111	HH	
07D	M	1995	011	100	011-100	F	
36D	F	1995	010	110	010-110	S	
61D	M	1995	011	100	011-100	X	missing one testicle
64D	F	1995	101	100	101-100	F	white goggles
77D	F	1995	111	000	111-000	R	"ripped left ear, looks like ear notch"
90D	F	1995	010	011	010-011	F	Grinch
92D	F	1995	001	011	001-011	F	
12E	M	1995	111	111	111-111	V	
14E	F	1995	000	100	000-100	V	
15E	F	1995	000	010	000-010	V	hole for nose
53E	F	1996	100	000	100-000	KK	
56E	F	1996	000	110	000-110	F	cataract in left eye
60E	M	1996	010	100	010-100	KK	
81E	F	1996	000	001	000-001	V	can't bend right ring finger or left pinky; looks like 100-001
84E	M	1996	010	010	010-010	R	ripped right ear
20F	F	1996	000	100	000-100	F	
43F	F	1996	100	001	100-001	F	
57F	M	1996	100	000	100-000	R	
87F	F	1996	101	101	101-101	R	
28G	F	1997	010	011	010-011	MM	
30G	M	1997	000	100	000-100	KK	left ear ripped from bottom up
13H	F	1997	000	110	000-110	V	
21H	F	1997	110	100	110-100	KK	
22H	F	1997	100	110	100-110	HH	
29H	M	1997	011	000	011-000	F	
44H	M	1997	110	000	110-000	R	
57H	F	1997	001	001	001-001	F	"partially closed, oozy left eye"
62H	F	1997	101	110	101-110	F	right ear ripped from bottom
94H	M	1998	000	100	000-100	KK	Licks hand
04I	M	1998	000	110	000-110	F	
13I	M	1998	100	110	100-110	HH	
18I	M	1998	101	010	101-010	V	
28I	F	1998	011	000	011-000	R	
31I	M	1998	100	010	100-010	V	Looks like he's missing eyebrows
